strain,N_bovin,ID_bovin,IVM_formulation,DAI,Total,Death,prop_dead,days
KIS,5,B335,mdc-STM-001,105,41,4,0.097560976,4
KIS,1,B122,mdc-STM-001,112,40,40,1,4
KIS,2,B126,mdc-STM-001,112,42,36,0.857142857,4
KIS,3,B128,mdc-STM-001,112,40,8,0.2,4
KIS,4,B332,mdc-STM-001,112,43,27,0.627906977,4
KIS,5,B335,mdc-STM-001,112,41,20,0.487804878,4
KIS,1,B122,mdc-STM-001,119,41,37,0.902439024,4
KIS,2,B126,mdc-STM-001,119,38,26,0.684210526,4
KIS,3,B128,mdc-STM-001,119,37,0,0,4
KIS,4,B332,mdc-STM-001,119,39,20,0.512820513,4
KIS,5,B335,mdc-STM-001,119,40,21,0.525,4
KIS,1,B122,mdc-STM-001,126,42,39,0.928571429,4
KIS,2,B126,mdc-STM-001,126,36,30,0.833333333,4
KIS,3,B128,mdc-STM-001,126,41,1,0.024390244,4
KIS,4,B332,mdc-STM-001,126,38,20,0.526315789,4
KIS,5,B335,mdc-STM-001,126,41,13,0.317073171,4
